node_from,node_to,r_pu,x_pu,p_to_MW,q_to_Mvar
69,1,"9,36E-07","2,25E-06","0,00E+00","0,00E+00"
1,2,"9,36E-07","2,25E-06","0,00E+00","0,00E+00"
2,3,"2,81E-06","6,74E-06","0,00E+00","0,00E+00"
3,4,"4,70E-05","5,50E-05","0,00E+00","0,00E+00"
4,5,"6,85E-04","3,49E-04","8,78E-04","7,20E-04"
5,6,"7,13E-04","3,63E-04","1,35E-02","9,98E-03"
6,7,"1,73E-04","8,80E-05","2,49E-02","1,78E-02"
7,8,"9,23E-05","4,70E-05","1,00E-02","7,21E-03"
8,9,"1,53E-03","5,07E-04","9,33E-03","6,67E-03"
9,10,"3,50E-04","1,16E-04","4,85E-02","3,46E-02"
10,11,"1,33E-03","4,40E-04","4,85E-02","3,46E-02"
11,12,"1,93E-03","6,36E-04","2,71E-03","1,82E-03"
12,13,"1,95E-03","6,46E-04","2,71E-03","1,82E-03"
13,14,"1,98E-03","6,54E-04","0,00E+00","0,00E+00"
14,15,"3,68E-04","1,22E-04","1,52E-02","1,02E-02"
15,16,"7,01E-04","2,32E-04","1,65E-02","1,18E-02"
16,17,"8,80E-06","2,99E-06","1,65E-02","1,18E-02"
17,18,"6,13E-04","2,03E-04","0,00E+00","0,00E+00"
18,19,"3,94E-04","1,30E-04","3,16E-04","2,12E-04"
19,20,"6,39E-04","2,11E-04","3,80E-02","2,71E-02"
20,21,"2,62E-05","8,61E-06","1,76E-03","1,18E-03"
21,22,"2,98E-04","9,85E-05","0,00E+00","0,00E+00"
22,23,"6,48E-04","2,14E-04","9,39E-03","6,67E-03"
23,24,"1,40E-03","4,63E-04","0,00E+00","0,00E+00"
24,25,"5,78E-04","1,91E-04","4,67E-03","3,33E-03"
25,26,"3,24E-04","1,07E-04","4,67E-03","3,33E-03"
2,27,"8,24E-06","2,02E-05","8,67E-03","6,19E-03"
27,28,"1,20E-04","2,93E-04","8,67E-03","6,19E-03"
28,29,"7,45E-04","2,46E-04","0,00E+00","0,00E+00"
29,30,"1,31E-04","4,34E-05","0,00E+00","0,00E+00"
30,31,"6,57E-04","2,17E-04","0,00E+00","0,00E+00"
31,32,"1,57E-03","5,27E-04","4,58E-03","3,26E-03"
32,33,"3,20E-03","1,06E-03","6,50E-03","4,55E-03"
33,34,"2,76E-03","9,12E-04","1,92E-03","1,29E-03"
3,35,"6,36E-06","1,57E-05","0,00E+00","0,00E+00"
35,36,"1,59E-04","3,90E-04","2,64E-02","1,88E-02"
36,37,"5,42E-04","1,33E-03","2,82E-02","9,15E-02"
37,38,"1,54E-04","3,76E-04","1,28E-01","9,15E-02"
2,39,"8,24E-06","2,02E-05","8,67E-03","6,19E-03"
7,40,"1,74E-04","8,85E-05","1,35E-02","9,44E-03"
40,41,"6,21E-04","2,09E-04","1,20E-03","8,94E-04"
8,42,"3,26E-04","1,66E-04","1,45E-03","1,16E-03"
42,43,"3,80E-04","1,94E-04","8,79E-03","6,32E-03"
43,44,"5,32E-04","2,71E-04","8,00E-03","5,71E-03"
44,45,"5,27E-04","2,68E-04","0,00E+00","0,00E+00"
45,46,"2,98E-03","9,99E-04","0,00E+00","0,00E+00"
46,47,"1,47E-03","4,92E-04","0,00E+00","0,00E+00"
47,48,"5,69E-04","1,88E-04","6,67E-04","2,40E-02"
48,49,"7,23E-04","2,19E-04","0,00E+00","0,00E+00"
49,50,"9,50E-04","4,84E-04","4,15E-01","2,96E-01"
50,51,"1,82E-04","9,28E-05","1,07E-02","7,61E-03"
51,52,"2,71E-04","1,38E-04","0,00E+00","0,00E+00"
52,53,"1,33E-03","6,77E-04","7,57E-02","5,39E-02"
53,54,"1,95E-03","9,92E-04","1,97E-02","1,39E-02"
10,55,"3,77E-04","1,14E-04","6,00E-03","4,28E-03"
55,56,"8,80E-06","2,62E-06","6,00E-03","4,28E-03"
11,57,"1,38E-03","4,57E-04","9,33E-03","6,66E-03"
57,58,"8,80E-06","2,99E-06","9,33E-03","6,66E-03"
39,59,"1,20E-04","2,93E-04","8,67E-03","6,19E-03"
59,63,"1,97E-04","2,30E-04","0,00E+00","0,00E+00"
63,64,"5,69E-05","6,64E-05","8,00E-03","5,71E-03"
64,65,"3,37E-06","3,93E-06","8,00E-03","5,71E-03"
65,66,"1,36E-03","1,59E-03","3,92E-04","3,25E-04"
66,67,"5,80E-04","6,78E-04","0,00E+00","0,00E+00"
67,68,"7,67E-05","8,95E-05","2,00E-03","1,43E-03"
68,60,"1,72E-05","2,17E-05","0,00E+00","0,00E+00"
60,61,"2,04E-04","2,57E-04","3,08E-03","8,79E-03"
61,62,"1,68E-06","2,25E-06","3,08E-03","8,79E-03"
10,68,"9,36E-04","9,36E-04",,
12,20,"9,36E-04","9,36E-04",,
14,62,"1,87E-03","1,87E-03",,
38,48,"3,74E-03","3,74E-03",,
26,54,"1,87E-03","1,87E-03",,
